County,Average Grade Performance (Math)
average,3.1
Anderson,2.8
Andrews,2.6
Angelina,3
Aransas,2.7
Archer,3.2
Armstrong,3.3
Atascosa,2.8
Austin,2.8
Bailey,2.7
Bandera,2.8
Bastrop,2.8
Baylor,3.4
Bee,2.8
Bell,3.1
Bexar,3
Blanco,3.2
Borden,NA
Bosque,3.2
Bowie,3.2
Brazoria,3.3
Brazos,3.2
Brewster,2.8
Briscoe,3.1
Brooks,2.5
Brown,3.1
Burleson,3
Burnet,3.1
Caldwell,2.7
Calhoun,3.4
Callahan,2.9
Cameron,3.2
Camp,3.3
Carson,3.5
Cass,3.1
Castro,3.1
Chambers,3.5
Cherokee,3.1
Childress,3.4
Clay,3.3
Cochran,2.9
Coke,2.5
Coleman,3
Collin,3.6
Collingsworth,2.9
Colorado,2.8
Comal,3.4
Comanche,3.1
Concho,2.1
Cooke,3
Coryell,3.1
Cottle,NA
Crane,3.2
Crockett,3
Crosby,2.6
Culberson,3.2
Dallam,2.9
Dallas,3
Dawson,2.6
Deaf Smith,3.1
Delta,2.9
Denton,3.3
DeWitt,3.1
Dickens,3.2
Dimmit,2.4
Donley,3.1
Duval,NA
Eastland,3
Ector,2.6
Edwards,2.9
Ellis,3.2
El Paso,3.2
Erath,3.4
Falls,2.3
Fannin,3.1
Fayette,3.2
Fisher,2.6
Floyd,2.8
Foard,NA
Fort Bend,3.5
Franklin,3.3
Freestone,2.8
Frio,2.7
Gaines,3
Galveston,3.2
Garza,2.4
Gillespie,3.2
Glasscock,4
Goliad,3
Gonzales,2.9
Gray,2.8
Grayson,3.2
Gregg,3
Grimes,3.1
Guadalupe,3.2
Hale,2.9
Hall,2.8
Hamilton,3.1
Hansford,3.2
Hardeman,2.9
Hardin,3.3
Harris,3
Harrison,3
Hartley,2.9
Haskell,2.7
Hays,3
Hemphill,3.3
Henderson,3.2
Hidalgo,3.1
Hill,2.8
Hockley,2.9
Hood,3.1
Hopkins,3
Houston,NA
Howard,2.7
Hudspeth,2.8
Hunt,3
Hutchinson,3
Irion,NA
Jack,3.1
Jackson,3.1
Jasper,2.9
Jeff Davis,NA
Jefferson,2.8
Jim Hogg,2.4
Jim Wells,3
Johnson,3.1
Jones,3
Karnes,3
Kaufman,3.1
Kendall,3.3
Kenedy,NA
Kent,NA
Kerr,3.2
Kimble,3
King,NA
Kinney,3
Kleberg,3
Knox,3
Lamar,3
Lamb,3
Lampasas,3
La Salle,2.6
Lavaca,3.2
Lee,2.6
Leon,3
Liberty,2.9
Limestone,2.8
Lipscomb,3.2
Live Oak,3.1
Llano,3.1
Loving,NA
Lubbock,3.1
Lynn,3
McCulloch,NA
McLennan,3
McMullen,NA
Madison,3.1
Marion,2.9
Martin,2.9
Mason,3.8
Matagorda,3
Maverick,3
Medina,3.2
Menard,NA
Midland,2.8
Milam,2.9
Mills,2.7
Mitchell,NA
Montague,2.9
Montgomery,3.4
Moore,2.9
Morris,3.1
Motley,NA
Nacogdoches,2.9
Navarro,2.8
Newton,2.9
Nolan,3.3
Nueces,3.1
Ochiltree,3.1
Oldham,3.4
Orange,2.9
Palo Pinto,2.9
Panola,3
Parker,3.2
Parmer,2.7
Pecos,3.2
Polk,2.8
Potter,3.2
Presidio,2.7
Rains,3.3
Randall,3.5
Reagan,2.7
Real,2.5
Red River,2.9
Reeves,2.8
Refugio,2.8
Roberts,NA
Robertson,NA
Rockwall,3.5
Runnels,2.9
Rusk,3.1
Sabine,2.8
San Augustine,2.5
San Jacinto,2.6
San Patricio,2.9
San Saba,3.3
Schleicher,3.4
Scurry,2.8
Shackelford,3.2
Shelby,2.9
Sherman,2.7
Smith,3
Somervell,3.5
Starr,3.1
Stephens,3.1
Sterling,2.4
Stonewall,3.7
Sutton,3.4
Swisher,2.9
Tarrant,3.1
Taylor,3.1
Terrell,NA
Terry,2.7
Throckmorton,2.8
Titus,3.1
Tom Green,3
Travis,3.2
Trinity,NA
Tyler,NA
Upshur,3.1
Upton,2.4
Uvalde,2.6
Val Verde,2.9
Van Zandt,3
Victoria,2.9
Walker,2.7
Waller,2.9
Ward,2.9
Washington,3.1
Webb,3.1
Wharton,3
Wheeler,3.3
Wichita,2.9
Wilbarger,2.8
Willacy,2.8
Williamson,3.4
Wilson,3
Winkler,2.6
Wise,3
Wood,2.9
Yoakum,2.6
Young,3
Zapata,2.6
Zavala,2.6
